条目类型,名称,正史细节,最后检查日期,备注
境界十,仙台,渡劫后立仙台 前期只作远古传说,2026-06-10,不在第一卷展开
一线开脉,一线细脉,第十二章盛砚在搬山桩 旧炉棚温灰洗腿 净息三问和陆炉翁纠偏下冲开一线细脉,2026-06-10,不是正式开脉 不入弟子册 不能越级 只支撑低阶术法前置感知
功法体术,搬山桩,外门基础体术 强筋骨 稳下盘 守炉和搬药前置,2026-06-10,第九章半课 第十二章与一线开脉相连
术法前置,缚藤术,低阶术法 正式弟子可在开脉后引木气 药童只能旁听手势和步法,2026-06-10,第十一章洛含霜用三息压过盛砚
辅助口诀,净息三问,陆炉翁所授 先辨气味 再辨冷热 最后辨去路,2026-06-10,第十二章用于一线开脉
低阶货币,灵砂,最低修仙货币 一百灵砂等于一枚下品灵石,2026-06-10,白石城凡人很少持有
凡俗货币,铜钱碎银,守砚堂日常用铜钱碎银周转 可买凡药米面人工 不能稳定兑换灵砂,2026-06-10,第八章青槐渡变现只得三钱碎银二百铜和米面
正式弟子费用,开脉药浴,普通开脉药浴一百二十灵砂起 稳脉药浴二百八十灵砂 开脉散护脉符另算 成功看体质资源和施术者水准,2026-06-10,第四章说明盛砚无法公开走此路
药童规则,外门药童,药童暂不开脉 不授正式功法 入丹房外围做洗药 晒草 守炉 记账 搬药 做得好有折价开脉机会,2026-06-10,药童身份能震慑凡俗 不能替凡俗旧账一笔勾销
药童竞选,百草三试,第四至五章 一百三十六人取十二 三试为辨药分匣 核方记账 青涧药沟采药 各记上中下 过试人数超额按等第取,2026-06-10,盛砚第一试中 第二试上 第三试上 排第九
第五章结果,试录药童,盛砚以丁二十七取得试录木牌 归属丹房未定,2026-06-10,第六章药师择徒承接
第六章归属,照晚房,林照晚追问白节皮封存和核方不乱定罪后收盛砚入照晚房,2026-06-10,她不是怜悯主角 而是看中其谨慎和证据意识
炼药师等级,炼药师体系,药童 炼药学徒 入品炼药师 一品至九品炼药师 药王 药皇 药圣,2026-06-10,第一卷只明确前几层 高层不向读者展开
炼药导师,林照晚,百草门一品炼药师上等 温良克制 火候细 处境被排挤 冷灶炉时少材料少,2026-06-10,第六章登场 第十章第一炉温络散
宗门赛事,炼药师比赛,一月后百草门炼药师比赛 入品和一品列名参赛 二品以上评炉 林照晚被朱边榜推到明处,2026-06-10,第六章露出 第十章正式名录 后续备药暗手承接
白石城小反派,罗敬安,济安堂掌柜 借温脉藤 旧账 样粉试图压守砚堂,2026-06-10,第七章青牌压街后暂退 近期不拖主线
第三章反制,贼人上门,胡三等人夜探守砚堂目标为样粉 药包 账册和值钱药材 不知旧炉存在 盛砚临场用眠藤壳 苦胆粉 湿灰和地形制服,2026-06-10,不杀人 不重暴力 只送回济安堂侧门震慑
第七章小高潮,青牌压街,济安堂当众摆红泥盒逼沈芸按押后院 盛砚先认一钱八分真账 再验纸色折痕 黑火印与红泥印年份不合 最后亮药童青牌迫使济安堂账房暂退,2026-06-10,青牌有边界 不等于赖账 白石城旧账线近期暂退
守砚堂状态,半歇业守铺,第八章后守砚堂不接新客 只留晨昏两段门 熟客药包预分 陌生人一律说掌柜入山旧账未清,2026-06-10,解决盛砚入山后母亲独守逻辑
旧炉随身,裂口砚盒,第八章盛砚把旧炉裹灰布藏入裂口砚盒 与碎墨 旧药刀 炉灰石混放 侧门登记为旧砚盒旧药具,2026-06-10,后续查院或丹房事故有暴露风险
药童小院,丁字七号,盛砚入山住丁字七号小院 一间屋 一口水缸 一方晒地 院签负责查院领水损耗,2026-06-10,第八章章小满隔墙登场
角色,章小满,宋闻炉门下药童 丁字六号邻院 嘴快怕事会打听 攒钱给妹妹买腿药,2026-06-10,信息源和低阶药童生计压力代表 不是纯搞笑路人
丹房异常,疑灰入山,第九章盛砚在韩药师房退湿药根灰中发现遇水不沉疑灰 叶知微青火复核后写下疑灰入山,2026-06-10,正式把冷灰从白石城拉进百草门内部
师姐,叶知微,百草门内门师姐 管复核廊 专业冷静 只认封纸 来路 证据和复核结果,2026-06-10,第九章登场 不无脑赏识主角
共炉廊,丹房共炉,低阶炼药师按炉时共用火道 廊外可见部分炼药过程 因此各房能看见照晚房开炉,2026-06-10,解释第十章韩药师房能旁观冷灶
一品药散,温络散,林照晚第十章炼制的一品药散 用于温养筋络寒湿 火候需温而不燥,2026-06-10,盛砚三尺线外递药记火
炉账异常,潮温砂,第十章盛砚发现第三匣温砂潮气重 林照晚减三分换干砂一分并写入炉账,2026-06-10,后续比赛备药被动手脚时回收
同辈竞争,洛含霜,百草门外门正式弟子 骄傲自律 缚藤术能缠木桩三息 对盛砚不是无脑羞辱而是指出气路差距,2026-06-10,第十一章登场 后续竞争合作
地点,旧炉棚,百草门后山废炉和炉灰堆所在 表面堆放废炉旧灰残药渣 实则压着旧丹窟封印外脉一角 陆炉翁在此养伤守封并暗查冷灰流向,2026-06-10,正文前期只露废炉棚表象 不提前讲明封印外脉
地点,炉灰坡,砚山外围任务地 与盛怀山旧纸“炉灰坡旧材 不入前柜”重合,2026-06-10,第十三章建议正式进入外围清草任务
副本,旧丹窟,远古镇妖丹阵残片和旧丹方线索,2026-06-10,第一卷只露残痕 不完整展示强大妖灵
中后段敌人,妖灵,中后段邪恶力量 可吞人族熟灵化妖力,2026-06-10,第一卷只埋污染 封印 邪息 不在早期正文直接讲体系
强大妖灵,魇烬,中后段强大妖灵 被旧炉真正力量镇压并长期反噬,2026-06-10,不在第一卷完整登场
开篇主动事件,主动验灰,第一章盛砚主动把守砚堂未挂牌旧灰送到青火铜盏前验出火气偏寒 宁可损失半日灯油也不让偏寒灰入药市,2026-06-10,用于强化主角人格和开篇事件性 街坊与青衣执事均看见
冷灶后果,末三减炉时,第六章朱边榜写明炼药师比赛末三房次月减炉时 连末两次者并房调人,2026-06-10,照晚房压力从被看轻升级为倒计时危机
山门查验,测封匣停顿,第八章侧门测封匣在裂口砚盒盒角停了一息 守门弟子以冷灰石和旧药刀解释后登记旧砚盒旧药具,2026-06-10,小炉未暴露 但随身风险更强
疑灰后果,疑灰查账,第九章明确疑灰入山会导致同批退湿药全封 转运账 接手人 借晒小院都要查 经手药童可能扣月评,2026-06-10,盛砚不是白捡功劳 而是卷入麻烦
一线反馈,半寸藤,第十二章盛砚一线开脉后让术课废藤抬起半寸 随即暖意散尽,2026-06-10,证明一线开脉有用但极弱 不等于正式施展缚藤术
同辈压力,洛含霜半评,第十一章洛含霜缚藤术缠木桩三息 获周砺记药山外围任务半评,2026-06-10,她不是无脑竞争者 有上评目标和药山任务能力
任务冲突,炉灰坡双人任务,第十二章炉灰坡外围清草限药童二人 赵横先按韩药师房药童牌 盛砚随后按下第二席,2026-06-10,第十三章直接从赵横同行和炉灰坡任务风险展开
